,PC1,PC2,Uniqueness
Temperature,0.7859143713690758,-0.15342458640921602,0.35879949716071136
Noise,0.7392275315643728,-0.14504349077151615,0.43250504236205733
Stormwind,0.7983317716636736,-0.15246305454979966,0.33942139934968485
Respiratory,0.8141977005065351,-0.16078705379178215,0.31122962782282915
Exercises,0.7861049487051457,-0.22688720348435373,0.3305612065163297
Culture,0.7978897043499087,-0.05932506148429913,0.35985255677229944
Beauty,0.8700711219058058,-0.1556431549883994,0.2187514511308295
Education,0.8379709091142482,-0.2606539630840815,0.22986426700680263
Society,0.8178019516337711,-0.097610506717968,0.3216721568822566
Spirit,0.8499003710179431,-0.1980420960982776,0.23844868751656323
Dirty,-0.12911798501226357,0.9075618096917915,0.15966010753533333
Unsafe,-0.12502417318133396,0.8926423245694102,0.1875586365076436
Danger,-0.19294042642503595,0.8920213064079019,0.1670719807652653
