,Beta (B),P-value,Odds Ratio EXP(B),Significance
const,-13.3839,0.0078,0.0,**
Frequency,0.7183,0.0098,2.051,**
Career_6,4.1539,0.0105,63.6799,*
Rooftop,1.7017,0.0123,5.4833,*
Income,0.0045,0.0229,1.0045,*
Transportation_4,4.6473,0.0284,104.3069,*
MEAN CES,1.8488,0.0288,6.3523,*
Career_4,2.8862,0.0334,17.9242,*
Career_3,3.4267,0.0368,30.7762,*
Garden,-1.4026,0.0446,0.246,*
MEAN DES,-0.4982,0.0586,0.6076,
Transportation_3,2.1343,0.0739,8.4512,
Literacy,0.5519,0.0906,1.7365,
Gender_2,1.1137,0.1406,3.0455,
Nature,-0.6135,0.2466,0.5415,
MEAN RES,-0.6547,0.2723,0.5196,
Residential,0.6836,0.391,1.981,
Time,-0.1722,0.5721,0.8418,
Distance,-0.161,0.6202,0.8513,
Transportation_2,0.6629,0.6341,1.9404,
Recreation,-0.1187,0.7927,0.8881,
Career_2,0.347,0.8054,1.4148,
Park,-0.1024,0.8656,0.9027,
Agriculture,-0.0665,0.8894,0.9356,
